code,bedrijf
301000,Landbouw bosbouw en visserij
301100,Landbouw
302600,Veeteelt en fokkerijen
302700,Melkveehouderij
302702,Houden van melkvee
302704,Opfokken jong melkvee
302800,Rundveehouderij (geen melkvee)
302802,Houden van vleeskalveren
302804,Overige vleesveehouderij
302900,Paardenfokkerij
303000,Schapen- en geitenhouderij
303002,Fokken en houden van schapen
303004,Fokken en houden van geiten
303100,Varkenshouderij
303102,Fokvarkensbedrijven,vermeerdering
303104,Vleesvarkensbedrijven
303106,(Deels) gesloten varkensbedrijven
303200,Pluimveehouderij
303202,Opfokken/houden van  leghennen
303204,Opfokken/houden van vleeskuikens
